,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9067123391266863,0.9295774647887325,0.8918918918918919,0.9900990099009901,0.9637681159420289,0.9705882352941176,33,1,100,4
1,2,0.8892159486218892,0.918918918918919,0.918918918918919,0.9702970297029703,0.9565217391304348,0.918918918918919,34,3,98,3
2,3,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
3,4,0.7987541882033553,0.8533333333333334,0.8648648648648649,0.9405940594059405,0.9202898550724637,0.8421052631578947,32,6,95,5
4,5,0.8916691617880451,0.9210526315789475,0.9459459459459459,0.9603960396039604,0.9565217391304348,0.8974358974358975,35,4,97,2
5,6,0.9630719828739631,0.972972972972973,0.972972972972973,0.9900990099009901,0.9855072463768116,0.972972972972973,36,1,100,1
6,7,0.8522879314958522,0.8918918918918919,0.8918918918918919,0.9603960396039604,0.9420289855072463,0.8918918918918919,33,4,97,4
7,8,0.9077826570117096,0.927536231884058,0.8648648648648649,1.0,0.9637681159420289,1.0,32,0,101,5
8,9,0.8719954360253241,0.9066666666666667,0.918918918918919,0.9603960396039604,0.9492753623188406,0.8947368421052632,34,4,97,3
9,10,0.8690221351467294,0.8985507246376812,0.8378378378378378,0.9900990099009901,0.9492753623188406,0.96875,31,1,100,6
