,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8307861845153497,0.8732394366197184,0.8378378378378378,0.9702970297029703,0.9347826086956522,0.9117647058823529,31,3,98,6
1,2,0.8719954360253241,0.9066666666666667,0.918918918918919,0.9603960396039604,0.9492753623188406,0.8947368421052632,34,4,97,3
2,3,0.7375204591091696,0.8055555555555555,0.7837837837837838,0.9405940594059405,0.8985507246376812,0.8285714285714286,29,6,95,8
3,4,0.7463484126569554,0.8157894736842105,0.8378378378378378,0.9207920792079208,0.8985507246376812,0.7948717948717948,31,8,93,6
4,5,0.6497068689317111,0.7096774193548386,0.5945945945945946,0.9702970297029703,0.8695652173913043,0.88,22,3,98,15
5,6,0.8127164867095135,0.8611111111111112,0.8378378378378378,0.9603960396039604,0.927536231884058,0.8857142857142857,31,4,97,6
6,7,0.8302616132817493,0.8695652173913043,0.8108108108108109,0.9801980198019802,0.9347826086956522,0.9375,30,2,99,7
7,8,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
8,9,0.8307861845153497,0.8732394366197184,0.8378378378378378,0.9702970297029703,0.9347826086956522,0.9117647058823529,31,3,98,6
9,10,0.8031548397498246,0.8571428571428571,0.8918918918918919,0.9306930693069307,0.9202898550724637,0.825,33,7,94,4
